month,operaciones,volumen_usd,volumen_mxn,ticket_usd,ticket_mxn,dias_activos,clientes,portafolios,ops_spot,usd_spot,ops_prepago,usd_prepago,ops_tiron,usd_tiron,ops_C,usd_C,ops_V,usd_V,ops_CCY,usd_CCY,share_usd_spot,share_ops_spot,share_usd_prepago,share_ops_prepago,share_usd_tiron,share_ops_tiron,share_usd_C,share_usd_V,share_usd_CCY,ops_por_dia,usd_por_dia
2024-05-01,13,6504000.0,108730535.0,500307.6923076923,8363887.307692308,11,3,1,13,6504000.0,0.0,0.0,0.0,0.0,13.0,6504000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1818181818181819,591272.7272727273
2024-06-01,11,5773000.0,105525661.0,524818.1818181818,9593241.909090908,9,3,1,11,5773000.0,0.0,0.0,0.0,0.0,8.0,1923000.0,3.0,3850000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33310237311623075,0.6668976268837693,0.0,1.2222222222222223,641444.4444444445
2024-07-01,3,1015000.0,18159199.0,338333.3333333333,6053066.333333333,3,1,2,3,1015000.0,0.0,0.0,0.0,0.0,1.0,950000.0,1.0,45000.0,1.0,20000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9359605911330049,0.04433497536945813,0.019704433497536946,1.0,338333.3333333333
2024-08-01,6,408149.76,7716246.57,68024.96,1286041.095,5,3,1,6,408149.76,0.0,0.0,0.0,0.0,4.0,400500.0,2.0,7649.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9812574678470961,0.018742532152903876,0.0,1.2,81629.952
2024-09-01,2,76500.0,1502183.4,38250.0,751091.7,2,1,1,2,76500.0,0.0,0.0,0.0,0.0,2.0,76500.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,38250.0
2024-10-01,4,874500.0,17483419.0,218625.0,4370854.75,4,2,1,4,874500.0,0.0,0.0,0.0,0.0,4.0,874500.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,218625.0
2024-11-01,5,1210000.0,24604000.0,242000.0,4920800.0,5,1,1,5,1210000.0,0.0,0.0,0.0,0.0,2.0,500000.0,3.0,710000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4132231404958678,0.5867768595041323,0.0,1.0,242000.0
2024-12-01,2,1515000.0,30735405.0,757500.0,15367702.5,2,1,1,2,1515000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1515000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,757500.0
2025-01-01,5,2821000.0,57956595.0,564200.0,11591319.0,5,1,1,5,2821000.0,0.0,0.0,0.0,0.0,1.0,1000000.0,4.0,1821000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3544842254519674,0.6455157745480327,0.0,1.0,564200.0
2025-02-01,7,2220000.0,45329190.0,317142.85714285716,6475598.571428572,7,2,1,7,2220000.0,0.0,0.0,0.0,0.0,4.0,675000.0,3.0,1545000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.30405405405405406,0.6959459459459459,0.0,1.0,317142.85714285716
2025-03-01,7,5265000.0,106276025.0,752142.8571428572,15182289.285714285,6,2,1,7,5265000.0,0.0,0.0,0.0,0.0,5.0,3000000.0,2.0,2265000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5698005698005698,0.4301994301994302,0.0,1.1666666666666667,877500.0
2025-04-01,7,3613000.0,71657945.0,516142.85714285716,10236849.285714285,5,1,1,2,1130000.0,4.0,1483000.0,1.0,1000000.0,2.0,1200000.0,5.0,2413000.0,0.0,0.0,0.3127594796567949,0.2857142857142857,0.41046221976197067,0.5714285714285714,0.2767783005812344,0.14285714285714285,0.3321339606974813,0.6678660393025186,0.0,1.4,722600.0
2025-05-01,17,8319099.38,162526436.56,489358.7870588235,9560378.62117647,13,1,1,3,1094099.38,11.0,4225000.0,3.0,3000000.0,10.0,4257786.88,7.0,4061312.5,0.0,0.0,0.13151656567901224,0.17647058823529413,0.5078674754333804,0.6470588235294118,0.3606159588876074,0.17647058823529413,0.5118086328234247,0.4881913671765753,0.0,1.3076923076923077,639930.7215384615
