fecha_operacion,ops,buy_ops,sell_ops,client_buy_usd,client_sell_usd,client_net_usd,usd_gross,avg_rate,inv_close,same_day_two_way,net_to_gross,month,next_rate,next_change
2024-04-15,27,16,11,78000000.0,48000000.0,30000000.0,126000000.0,16.61897619047619,30000000.0,True,0.23809523809523808,2024-04,17.056496513695688,0.4375203232194984
2024-04-29,7,7,0,30003248.46131706,0.0,30003248.46131706,30003248.46131706,17.056496513695688,60003248.46131706,False,1.0,2024-04,17.075,0.018503486304311423
2024-04-30,6,0,6,0.0,30000000.0,-30000000.0,30000000.0,17.075,30003248.461317062,False,1.0,2024-04,16.966914285714285,-0.10808571428571412
2024-05-02,18,8,10,35000000.0,35000000.0,0.0,70000000.0,16.966914285714285,30003248.461317062,True,0.0,2024-05,16.975833333333334,0.008919047619048825
2024-05-03,10,5,5,15000000.0,15000000.0,0.0,30000000.0,16.975833333333334,30003248.461317062,True,0.0,2024-05,16.949828571428572,-0.026004761904761864
2024-05-06,8,7,1,30000000.0,5000000.0,25000000.0,35000000.0,16.949828571428572,55003248.46131706,True,0.7142857142857143,2024-05,16.9272875,-0.022541071428573645
2024-05-07,20,9,11,30000000.0,50000000.0,-20000000.0,80000000.0,16.9272875,35003248.46131706,True,0.25,2024-05,16.933815384615386,0.006527884615387336
2024-05-08,15,10,5,45000000.0,20000000.0,25000000.0,65000000.0,16.933815384615386,60003248.46131706,True,0.38461538461538464,2024-05,16.926064,-0.007751384615385604
2024-05-09,27,14,13,65000000.0,60000000.0,5000000.0,125000000.0,16.926064,65003248.46131706,True,0.04,2024-05,16.9304,0.004335999999998563
2024-05-10,15,7,8,35000000.0,40000000.0,-5000000.0,75000000.0,16.9304,60003248.46131706,True,0.06666666666666667,2024-05,16.92094117647059,-0.00945882352941041
2024-05-13,17,8,9,40000000.0,45000000.0,-5000000.0,85000000.0,16.92094117647059,55003248.46131706,True,0.058823529411764705,2024-05,16.835619047619048,-0.08532212885154067
2024-05-14,17,10,7,55000000.0,50000000.0,5000000.0,105000000.0,16.835619047619048,60003248.46131706,True,0.047619047619047616,2024-05,16.828564285714286,-0.0070547619047616195
2024-05-15,27,14,13,70000000.0,70000000.0,0.0,140000000.0,16.828564285714286,60003248.46131706,True,0.0,2024-05,16.835864,0.007299714285714742
2024-05-16,25,13,12,65000000.0,60000000.0,5000000.0,125000000.0,16.835864,65003248.46131706,True,0.04,2024-05,16.810765217391303,-0.02509878260869769
2024-05-17,23,11,12,55000000.0,60000000.0,-5000000.0,115000000.0,16.810765217391303,60003248.46131706,True,0.043478260869565216,2024-05,16.595177777777778,-0.21558743961352533
2024-05-20,17,10,7,45000000.0,45000000.0,0.0,90000000.0,16.595177777777778,60003248.46131706,True,0.0,2024-05,16.601444444444443,0.006266666666665088
2024-05-21,8,1,7,5000000.0,40000000.0,-35000000.0,45000000.0,16.601444444444443,25003248.461317062,True,0.7777777777777778,2024-05,16.605,0.0035555555555575324
2024-05-22,3,2,1,10000000.0,5000000.0,5000000.0,15000000.0,16.605,30003248.461317062,True,0.3333333333333333,2024-05,16.79,0.18499999999999872
2024-05-28,1,0,1,0.0,5000000.0,-5000000.0,5000000.0,16.79,25003248.461317062,False,1.0,2024-05,16.791333333333334,0.0013333333333349628
2024-05-29,3,2,1,10000000.0,5000000.0,5000000.0,15000000.0,16.791333333333334,30003248.461317062,True,0.3333333333333333,2024-05,16.945,0.15366666666666617
2024-05-30,2,1,1,5000000.0,5000000.0,0.0,10000000.0,16.945,30003248.461317062,True,0.0,2024-05,16.970306924418985,0.025306924418984522
2024-05-31,7,4,3,15004383.183979034,15000000.0,4383.1839790334925,30004383.183979034,16.970306924418985,30007631.645296097,True,0.00014608478875092863,2024-05,17.53307142857143,0.5627645041524438
2024-06-03,23,9,14,13000000.0,43000000.0,-30000000.0,56000000.0,17.53307142857143,7631.645296096802,True,0.5357142857142857,2024-06,17.79278125,0.25970982142857224
2024-06-04,34,17,17,64000000.0,64000000.0,0.0,128000000.0,17.79278125,7631.645296096802,True,0.0,2024-06,17.675707317073172,-0.11707393292682866
2024-06-05,45,30,15,112000000.0,52000000.0,60000000.0,164000000.0,17.675707317073172,60007631.6452961,True,0.36585365853658536,2024-06,17.697665,0.021957682926828426
2024-06-06,46,15,31,70000000.0,130000000.0,-60000000.0,200000000.0,17.697665,7631.645296096802,True,0.3,2024-06,17.81479347826087,0.11712847826087014
2024-06-07,22,11,11,46000000.0,46000000.0,0.0,92000000.0,17.81479347826087,7631.645296096802,True,0.0,2024-06,18.025105555555555,0.21031207729468449
2024-06-10,47,25,22,95000000.0,85000000.0,10000000.0,180000000.0,18.025105555555555,10007631.645296097,True,0.05555555555555555,2024-06,18.10429090909091,0.07918535353535461
2024-06-11,57,28,29,110000000.0,110000000.0,0.0,220000000.0,18.10429090909091,10007631.645296097,True,0.0,2024-06,18.703270358306188,0.5989794492152782
2024-06-12,39,17,22,75000000.0,78500000.0,-3500000.0,153500000.0,18.703270358306188,6507631.645296097,True,0.02280130293159609,2024-06,18.65203829787234,-0.05123206043384698
2024-06-13,56,35,21,143000000.0,92000000.0,51000000.0,235000000.0,18.65203829787234,57507631.6452961,True,0.2170212765957447,2024-06,18.57205625,-0.07998204787234187
2024-06-14,37,14,23,65000000.0,95000000.0,-30000000.0,160000000.0,18.57205625,27507631.645296097,True,0.1875,2024-06,18.643272727272727,0.07121647727272773
2024-06-17,31,12,19,45000000.0,65000000.0,-20000000.0,110000000.0,18.643272727272727,7507631.645296097,True,0.18181818181818182,2024-06,18.491003921568627,-0.15226880570410017
2024-06-18,73,41,32,150000000.0,105000000.0,45000000.0,255000000.0,18.491003921568627,52507631.6452961,True,0.17647058823529413,2024-06,18.436933333333332,-0.05407058823529454
2024-06-19,5,3,2,10000000.0,5000000.0,5000000.0,15000000.0,18.436933333333332,57507631.6452961,True,0.3333333333333333,2024-06,18.44192307692308,0.004989743589746354
2024-06-20,51,20,31,80000000.0,115000000.0,-35000000.0,195000000.0,18.44192307692308,22507631.645296097,True,0.1794871794871795,2024-06,18.316580769230768,-0.12534230769231058
2024-06-21,59,32,27,145000000.0,115000000.0,30000000.0,260000000.0,18.316580769230768,52507631.6452961,True,0.11538461538461539,2024-06,18.144022857142858,-0.17255791208791038
2024-06-24,35,12,23,60000000.0,115000000.0,-55000000.0,175000000.0,18.144022857142858,-2492368.354703903,True,0.3142857142857143,2024-06,18.197493333333334,0.05347047619047629
2024-06-25,30,15,15,75000000.0,75000000.0,0.0,150000000.0,18.197493333333334,-2492368.354703903,True,0.0,2024-06,18.139551020408163,-0.057942312925170825
2024-06-26,47,24,23,125000000.0,120000000.0,5000000.0,245000000.0,18.139551020408163,2507631.645296097,True,0.02040816326530612,2024-06,18.196426923076924,0.05687590266876086
2024-06-27,52,27,25,135000000.0,125000000.0,10000000.0,260000000.0,18.196426923076924,12507631.645296097,True,0.038461538461538464,2024-06,18.37239429928741,0.17596737621048675
2024-06-28,45,22,23,115000000.0,95500000.0,19500000.0,210500000.0,18.37239429928741,32007631.645296097,True,0.09263657957244656,2024-06,18.407855,0.035460700712590665
2024-07-01,42,20,22,95000000.0,105000000.0,-10000000.0,200000000.0,18.407855,22007631.645296097,True,0.05,2024-07,18.375929411764705,-0.03192558823529623
2024-07-02,40,23,17,100000000.0,70000000.0,30000000.0,170000000.0,18.375929411764705,52007631.6452961,True,0.17647058823529413,2024-07,18.303736842105263,-0.07219256965944254
2024-07-03,19,10,9,50000000.0,45000000.0,5000000.0,95000000.0,18.303736842105263,57007631.6452961,True,0.05263157894736842,2024-07,18.168516666666665,-0.13522017543859732
2024-07-04,12,4,8,15000000.0,45000000.0,-30000000.0,60000000.0,18.168516666666665,27007631.645296097,True,0.5,2024-07,18.18756,0.019043333333335966
2024-07-05,33,16,17,75000000.0,75000000.0,0.0,150000000.0,18.18756,27007631.645296097,True,0.0,2024-07,18.109142857142857,-0.07841714285714474
2024-07-08,15,11,4,50000000.0,20000000.0,30000000.0,70000000.0,18.109142857142857,57007631.6452961,True,0.42857142857142855,2024-07,17.9963125,-0.11283035714285816
2024-07-09,14,7,7,40000000.0,40000000.0,0.0,80000000.0,17.9963125,57007631.6452961,True,0.0,2024-07,17.90857857142857,-0.08773392857142781
2024-07-10,27,11,16,55000000.0,85000000.0,-30000000.0,140000000.0,17.90857857142857,27007631.645296097,True,0.21428571428571427,2024-07,17.903076923076924,-0.005501648351646793
2024-07-11,23,12,11,70000000.0,60000000.0,10000000.0,130000000.0,17.903076923076924,37007631.6452961,True,0.07692307692307693,2024-07,17.79744705882353,-0.1056298642533946
2024-07-12,15,9,6,50000000.0,35000000.0,15000000.0,85000000.0,17.79744705882353,52007631.6452961,True,0.17647058823529413,2024-07,17.812979591836736,0.015532533013207228
2024-07-15,12,3,9,12000000.0,37000000.0,-25000000.0,49000000.0,17.812979591836736,27007631.645296097,True,0.5102040816326531,2024-07,17.7469,-0.06607959183673628
2024-07-16,9,5,4,15000000.0,15000000.0,0.0,30000000.0,17.7469,27007631.645296097,True,0.0,2024-07,18.098700000000004,0.35180000000000433
2024-07-23,1,1,0,1323.951444026366,0.0,1323.951444026366,1323.951444026366,18.098700000000004,27008955.596740123,False,1.0,2024-07,18.815,0.7162999999999968
2024-08-01,9,4,5,20000000.0,21000000.0,-1000000.0,41000000.0,18.815,26008955.596740123,True,0.024390243902439025,2024-08,19.0736,0.2585999999999977
2024-08-02,13,4,9,35000000.0,40000000.0,-5000000.0,75000000.0,19.0736,21008955.596740123,True,0.06666666666666667,2024-08,19.161910344827586,0.08831034482758682
2024-08-05,28,15,13,75000000.0,70000000.0,5000000.0,145000000.0,19.161910344827586,26008955.596740123,True,0.034482758620689655,2024-08,19.23015,0.06823965517241248
2024-08-06,20,10,10,40000000.0,40000000.0,0.0,80000000.0,19.23015,26008955.596740123,True,0.0,2024-08,19.288161538461537,0.05801153846153895
2024-08-07,33,16,17,55000000.0,75000000.0,-20000000.0,130000000.0,19.288161538461537,6008955.596740127,True,0.15384615384615385,2024-08,19.262038461538463,-0.02612307692307425
2024-08-08,32,19,13,75000000.0,55000000.0,20000000.0,130000000.0,19.262038461538463,26008955.596740127,True,0.15384615384615385,2024-08,19.139761904761905,-0.12227655677655846
2024-08-09,20,11,9,60000000.0,45000000.0,15000000.0,105000000.0,19.139761904761905,41008955.59674013,True,0.14285714285714285,2024-08,19.129553846153847,-0.010208058608057513
2024-08-12,14,3,11,15000000.0,50000000.0,-35000000.0,65000000.0,19.129553846153847,6008955.596740127,True,0.5384615384615384,2024-08,19.136325,0.006771153846152345
2024-08-13,17,11,6,50000000.0,30000000.0,20000000.0,80000000.0,19.136325,26008955.596740127,True,0.25,2024-08,18.917057142857143,-0.21926785714285657
2024-08-14,18,11,7,45000000.0,25000000.0,20000000.0,70000000.0,18.917057142857143,46008955.59674013,True,0.2857142857142857,2024-08,18.871985714285714,-0.045071428571429095
2024-08-15,18,11,7,40000000.0,30000000.0,10000000.0,70000000.0,18.871985714285714,56008955.59674013,True,0.14285714285714285,2024-08,18.797025,-0.07496071428571227
2024-08-16,31,14,17,50000000.0,70000000.0,-20000000.0,120000000.0,18.797025,36008955.59674013,True,0.16666666666666666,2024-08,18.71357692307692,-0.0834480769230801
2024-08-19,30,16,14,70000000.0,60000000.0,10000000.0,130000000.0,18.71357692307692,46008955.59674013,True,0.07692307692307693,2024-08,18.840275862068964,0.12669893899204254
2024-08-20,9,1,8,2000000.0,27000000.0,-25000000.0,29000000.0,18.840275862068964,21008955.596740127,True,0.8620689655172413,2024-08,18.99109090909091,0.15081504702194692
2024-08-21,3,2,1,8000000.0,3000000.0,5000000.0,11000000.0,18.99109090909091,26008955.596740127,True,0.45454545454545453,2024-08,19.20735,0.2162590909090909
2024-08-22,13,5,8,15000000.0,25000000.0,-10000000.0,40000000.0,19.20735,16008955.596740127,True,0.25,2024-08,19.433,0.22564999999999813
2024-08-23,6,4,2,15000000.0,5000000.0,10000000.0,20000000.0,19.433,26008955.596740127,True,0.5,2024-08,19.693,0.26000000000000156
2024-08-28,1,1,0,1000000.0,0.0,1000000.0,1000000.0,19.693,27008955.596740127,False,1.0,2024-08,19.6622,-0.030800000000002825
2024-08-30,4,4,0,15000000.0,0.0,15000000.0,15000000.0,19.6622,42008955.59674013,False,1.0,2024-08,19.69729090909091,0.03509090909091128
2024-09-02,12,5,7,20000000.0,35000000.0,-15000000.0,55000000.0,19.69729090909091,27008955.596740127,True,0.2727272727272727,2024-09,19.823366666666665,0.12607575757575518
2024-09-03,7,4,3,15000000.0,15000000.0,0.0,30000000.0,19.823366666666665,27008955.596740127,True,0.0,2024-09,19.95495,0.13158333333333516
2024-09-05,5,3,2,10000000.0,10000000.0,0.0,20000000.0,19.95495,27008955.596740127,True,0.0,2024-09,19.312866666666668,-0.642083333333332
2024-09-13,7,7,0,30000000.0,0.0,30000000.0,30000000.0,19.312866666666668,57008955.59674013,False,1.0,2024-09,19.2821,-0.030766666666668385
2024-09-17,18,4,14,20000000.0,50000000.0,-30000000.0,70000000.0,19.2821,27008955.596740127,True,0.42857142857142855,2024-09,19.261,-0.021100000000000563
2024-09-18,7,1,6,3000000.0,23000000.0,-20000000.0,26000000.0,19.261,7008955.596740127,True,0.7692307692307693,2024-09,19.2426375,-0.018362499999998505
2024-09-19,19,11,8,45000000.0,35000000.0,10000000.0,80000000.0,19.2426375,17008955.596740127,True,0.125,2024-09,19.36715,0.12451249999999803
2024-09-20,7,0,7,0.0,20000000.0,-20000000.0,20000000.0,19.36715,-2991044.4032598734,False,1.0,2024-09,19.376604316546764,0.00945431654676554
2024-09-23,35,19,16,82000000.0,57000000.0,25000000.0,139000000.0,19.376604316546764,22008955.596740127,True,0.17985611510791366,2024-09,19.404634146341465,0.02802982979470059
2024-09-24,10,6,4,23000000.0,18000000.0,5000000.0,41000000.0,19.404634146341465,27008955.596740127,True,0.12195121951219512,2024-09,19.56966,0.16502585365853406
2024-09-25,11,4,7,20000000.0,30000000.0,-10000000.0,50000000.0,19.56966,17008955.596740127,True,0.2,2024-09,19.582166666666666,0.012506666666666888
2024-09-26,21,8,13,35000000.0,55000000.0,-20000000.0,90000000.0,19.582166666666666,-2991044.4032598734,True,0.2222222222222222,2024-09,19.5447,-0.03746666666666698
2024-09-27,17,8,9,35000000.0,35000000.0,0.0,70000000.0,19.5447,-2991044.4032598734,True,0.0,2024-09,19.587944083542954,0.04324408354295528
2024-09-30,40,22,18,76375618.61079618,75000000.0,1375618.6107961722,151375618.61079618,19.587944083542954,-1615425.7924637012,True,0.009087451621473092,2024-09,19.61180310880829,0.023859025265334566
2024-10-02,46,29,17,119000000.0,74000000.0,45000000.0,193000000.0,19.61180310880829,43384574.207536295,True,0.23316062176165803,2024-10,19.539956521739132,-0.0718465870691567
2024-10-03,39,18,21,64000000.0,74000000.0,-10000000.0,138000000.0,19.539956521739132,33384574.207536295,True,0.07246376811594203,2024-10,19.320295081967213,-0.21966143977191877
2024-10-04,18,8,10,28000000.0,33000000.0,-5000000.0,61000000.0,19.320295081967213,28384574.207536295,True,0.08196721311475409,2024-10,19.37307142857143,0.05277634660421526
2024-10-07,15,8,7,21000000.0,21000000.0,0.0,42000000.0,19.37307142857143,28384574.207536295,True,0.0,2024-10,19.309487179487178,-0.06358424908425064
2024-10-08,27,11,16,29000000.0,49000000.0,-20000000.0,78000000.0,19.309487179487178,8384574.207536295,True,0.2564102564102564,2024-10,19.337354166666668,0.027866987179489655
2024-10-09,13,5,8,19000000.0,29000000.0,-10000000.0,48000000.0,19.337354166666668,-1615425.792463705,True,0.20833333333333334,2024-10,19.43067272727273,0.09331856060606114
2024-10-10,21,13,8,52500000.0,30000000.0,22500000.0,82500000.0,19.43067272727273,20884574.207536295,True,0.2727272727272727,2024-10,19.427144444444444,-0.0035282828282845458
2024-10-11,25,19,6,65000000.0,25000000.0,40000000.0,90000000.0,19.427144444444444,60884574.207536295,True,0.4444444444444444,2024-10,19.3499,-0.07724444444444245
2024-10-14,13,0,13,0.0,50000000.0,-50000000.0,50000000.0,19.3499,10884574.207536295,False,1.0,2024-10,19.44540425531915,0.09550425531914897
2024-10-15,20,9,11,42000000.0,52000000.0,-10000000.0,94000000.0,19.44540425531915,884574.207536295,True,0.10638297872340426,2024-10,19.47669298245614,0.031288727136988825
2024-10-16,28,14,14,57000000.0,57000000.0,0.0,114000000.0,19.47669298245614,884574.207536295,True,0.0,2024-10,19.623871951219513,0.14717896876337377
